Culture;T°Min G;T°Opti G;Temps levée;T° levée;T°Min Culture;Récolte (jours)
Laitue;5°;15°;5-8 jours;20°;3°;45-60
Mesclun;5°;15°;8-10 jours;20°;4°;30-45
Scarole;5°;15°;8-10 jours;20°;4°;70-90
Roquette;5°;15°;4-8 jours;20°;4°;30-45
Ail;8°;15°;10 jours;20°;1°;120-250
Oignon;10°;15°;6-10 jours;20°;1°;100-150
Échalote;12°;15°;10 jours;20°;3°;90-120
Petsaï / Pakchoï;10°;17°;8-10 jours;20°;3°;50-60
Fenouil;12°;18°;6-8 jours;22°;5°;90-110
Mâche;15°;18°;6-8 jours;18°;5°;60-90
Petits pois lisses;5°;18°;10-15 jours;18°;4°;70-80
Petits pois mangetout;5°;18°;10-15 jours;18°;4°;65-75
Petits pois ridés;5°;18°;10-12 jours;18°;4°;75-90
Fève;8°;18°;8-10 jours;19°;5°;90-120
Epinard;7°;18°;6-8 jours;18°;5°;40-60
Céleri branche;16°;18°;12-14 jours;20°;5°;120-150
Céleri rave;16°;18°;12-14 jours;20°;5°;150-180
Navet;7°;19°;4-8 jours;19°;1°;50-80
Radis / Radis noir;7°;19°;4-8 jours;19°;6°;18-30
Poireau;12°;19°;8-12 jours;20°;2°;150-200
Topinambour;14°;19°;8-10 jours;20°;5°;180-210
Carotte;7°;20°;10-15 jours;18°;9°;75-120
Pomme de terre;10°;20°;15 jours;20°;7°;90-120
Betterave;10°;20°;8-10 jours;22°;6°;60-90
Blette;10°;20°;8-10 jours;19°;5°;60-80
Endive;12°;20°;7-10 jours;22°;7°;150-180
Artichaut;15°;21°;8 jours;22°;5°;300-360
Chou Kale;7°;22°;6-8 jours;20°;2°;60-90
Chou Brocoli;7°;22°;6-8 jours;20°;5°;90-120
Chou de Bruxelles;7°;22°;6-8 jours;20°;3°;150-180
Chou-fleur;7°;22°;6-8 jours;20°;5°;90-150
Chou pommé;7°;22°;6-8 jours;20°;2°;90-150
Chou-rave;7°;22°;6-8 jours;20°;5°;50-70
Chou rouge;7°;22°;6-8 jours;20°;2°;120-180
Tournesol;12°;25°;8-10 jours;25°;8°;80-100
Haricot à écosser;16°;25°;6-8 jours;24°;11°;90-110
Haricot vert;16°;25°;6-8 jours;24°;11°;60-80
Tomate;16°;25°;6-8 jours;22°;12°;90-120
Chayotte;20°;25°;15 jours;25°;10°;150-180
Pastèque;20°;25°;10 jours;25°;12°;100-140
Patate douce;20°;25°;15 jours;25°;15°;120-150
Courgette;21°;25°;6-8 jours;24°;8°;50-65
Poivrons / Piments;18°;26°;8-10 jours;24°;8°;120-150
Courge;21°;26°;4-8 jours;24°;16°;90-120
Cornichon;16°;26°;8-10 jours;24°;15°;50-70
Concombre;16°;26°;8-10 jours;24°;15°;60-80
Maïs doux;16°;27°;6-8 jours;24°;10°;90-110
Aubergine;21°;27°;5-10 jours;25°;12°;120-150
Melon;24°;27°;5-8 jours;24°;12°;100-130
--- NOUVEAUX AJOUTS ---;;;;;;
Asperge;12°;20°;20-30 jours;22°;5°;3 ans
Panais;10°;18°;15-25 jours;20°;2°;120-180
Pâtisson;21°;25°;6-10 jours;24°;10°;80-90
Potiron;21°;26°;6-10 jours;24°;12°;100-140
Butternut;21°;26°;6-10 jours;24°;12°;100-120
Radis d'hiver;7°;19°;6-10 jours;19°;5°;60-90
Persil;10°;18°;15-25 jours;20°;5°;70-90
Ciboulette;10°;20°;10-15 jours;20°;2°;60-80
Basilic;18°;25°;5-10 jours;24°;12°;45-60
Coriandre;10°;18°;10-15 jours;20°;5°;40-60
Aneth;10°;20°;10-15 jours;20°;5°;60-80
Estragon;15°;20°;15-20 jours;20°;5°;90-120
Fraise (plant);10°;20°;15-20 jours;20°;6°;60-90
Framboise;10°;18°;20-30 jours;18°;(-15°);1 an
Cassis;10°;18°;20-30 jours;18°;(-15°);1 an
Groseille;10°;18°;20-30 jours;18°;(-15°);1 an
Rhubarbe;10°;18°;15-20 jours;20°;(-10°);1 an
Physalis;18°;25°;10-15 jours;24°;12°;120-150
Poireau d'hiver;12°;19°;8-12 jours;20°;(-10°);180-220
Salsifis;10°;18°;10-15 jours;20°;5°;120-150
Scorsonère;10°;18°;10-15 jours;20°;5°;120-150
Rutabaga;7°;19°;6-10 jours;19°;2°;90-120
Chou-rave;7°;22°;6-8 jours;20°;5°;55-70
Brocoli chinois;10°;20°;6-10 jours;20°;5°;50-60
Haricot d'Espagne;15°;22°;8-12 jours;22°;10°;80-100